                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.391,                 4.1123,                 1.3787,                0.00333,                      1,                 0.2423,                0.13473,                 1.2972,                 3.6102,                 1.4461,                 0.0002,                 0.0002,                 0.0002
                      2,                  1.088,                 3.1825,                 1.1137,                0.00333,                      1,                0.56802,                 0.2699,                   1.61,                 3.7415,                 1.7724,              0.0004148,              0.0004148,              0.0004148
                      3,                0.98093,                 2.3045,                 1.0483,                0.55744,                    0.6,                0.62591,                0.35152,                 1.3648,                 3.6072,                 1.6085,             0.00062416,             0.00062416,             0.00062416
                      4,                 1.0487,                 2.3682,                 1.0199,                0.00333,                      1,                0.58357,                0.44908,                 1.2689,                 3.6348,                 1.3923,             0.00082807,             0.00082807,             0.00082807
                      5,                 1.2592,                 2.3229,                 1.1461,                      1,                0.38445,                0.72949,                0.39713,                 1.3223,                 3.6879,                 1.6155,              0.0010265,              0.0010265,              0.0010265
                      6,                 1.1413,                 2.1433,                 1.1278,                      1,                0.50314,                0.72949,                0.39769,                 1.3876,                 3.4285,                 1.6638,              0.0012196,              0.0012196,              0.0012196
                      7,                 1.1224,                 2.3873,                 1.1295,                0.70769,                    0.4,                0.71615,                0.42935,                 1.3438,                 3.1912,                 1.6111,              0.0014071,              0.0014071,              0.0014071
                      8,                0.97085,                 2.3278,                 1.0855,                0.96608,                    0.4,                0.54157,                0.38048,                 1.6452,                 2.8109,                 1.7748,              0.0015893,              0.0015893,              0.0015893
                      9,                 1.2113,                  2.274,                 1.1552,                0.72007,                    0.6,                0.62541,                0.35009,                 1.7489,                 3.0076,                 1.8436,               0.001766,               0.001766,               0.001766
                     10,                 1.2461,                 2.3159,                 1.2568,                      1,                0.73723,                0.82948,                0.40795,                 1.6205,                 2.5277,                 1.9286,              0.0017772,              0.0017772,              0.0017772
                     11,                 1.2063,                  2.198,                 1.1624,                      1,                0.38348,                0.62833,                0.32907,                 1.8408,                 2.9437,                 2.2007,              0.0017772,              0.0017772,              0.0017772
                     12,                 1.0119,                 2.6151,                 1.0266,                0.43485,                    0.6,                0.56167,                0.25216,                 1.8122,                 3.2062,                 2.2471,              0.0017525,              0.0017525,              0.0017525
                     13,                 1.1353,                 1.9858,                 1.1798,                0.43485,                    0.6,                0.56167,                0.25216,                 1.8122,                 3.2062,                 2.2471,              0.0017278,              0.0017278,              0.0017278
                     14,                 1.3489,                   2.35,                 1.4083,                  0.976,                    0.4,                0.50655,                0.32487,                 1.5871,                 3.7057,                 2.0974,               0.001703,               0.001703,               0.001703
