                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.391,                 4.1123,                 1.3787,                0.00333,                      1,                 0.2423,                0.13473,                 1.2972,                 3.6102,                 1.4461,                 0.0002,                 0.0002,                 0.0002
                      2,                 1.0896,                 3.1853,                 1.1125,                0.00333,                      1,                 0.5954,                0.26535,                 1.7047,                 3.7656,                 1.8226,             0.00041653,             0.00041653,             0.00041653
                      3,                 1.0089,                 2.3013,                 1.0633,                0.00918,                      1,                0.59532,                0.36336,                 1.3434,                 3.5737,                 1.5884,             0.00062944,             0.00062944,             0.00062944
                      4,                 1.0459,                 2.3766,                 1.0163,                0.00333,                      1,                0.53512,                0.41394,                 1.1236,                 3.5805,                 1.3261,             0.00083871,             0.00083871,             0.00083871
                      5,                 1.2371,                  2.356,                 1.1426,                      1,                0.34407,                0.60015,                0.31868,                 1.6355,                 4.2172,                 1.7351,              0.0010444,              0.0010444,              0.0010444
                      6,                 1.0724,                 2.1371,                 1.0894,                      1,                0.37445,                0.52407,                0.35365,                 1.7212,                 3.6742,                 1.8152,              0.0012464,              0.0012464,              0.0012464
                      7,                 1.1702,                 2.4513,                 1.1299,                      1,                0.38572,                0.51521,                0.34289,                 1.7396,                 3.6957,                 2.0577,              0.0014448,              0.0014448,              0.0014448
                      8,                0.99258,                 2.2611,                 1.0919,                 0.9249,                    0.4,                0.41387,                0.33929,                 1.6434,                 3.7715,                 2.2855,              0.0016395,              0.0016395,              0.0016395
                      9,                 1.2043,                 2.1746,                   1.18,                0.73919,                0.57406,                0.56306,                0.34729,                 1.7225,                 4.1813,                 2.1866,              0.0018306,              0.0018306,              0.0018306
                     10,                 1.2943,                 2.3283,                 1.3371,                0.43063,                    0.2,                0.15505,                 0.0843,                 2.5751,                 5.0073,                 4.9534,              0.0018515,              0.0018515,              0.0018515
                     11,                 1.1522,                 2.1244,                 1.1685,                      1,                0.57235,                0.66195,                0.34243,                 1.9451,                 3.7431,                  3.175,              0.0018515,              0.0018515,              0.0018515
                     12,                0.93983,                 2.4501,                 1.0363,                0.81557,                    0.4,                0.54253,                0.32629,                 1.7899,                 4.1149,                 2.7893,               0.001835,               0.001835,               0.001835
                     13,                 1.0697,                 1.8826,                 1.1339,                0.81557,                    0.4,                0.54253,                0.32629,                 1.7899,                 4.1149,                 2.7893,              0.0018185,              0.0018185,              0.0018185
                     14,                 1.1698,                 2.2166,                 1.3037,                0.32692,                    0.4,                0.44721,                0.31593,                 1.8664,                 6.5247,                 2.7622,               0.001802,               0.001802,               0.001802
                     15,                 1.0983,                 2.0124,                 1.1455,                0.32884,                    0.8,                0.55754,                0.28594,                 1.9126,                 6.8575,                 2.5484,              0.0017855,              0.0017855,              0.0017855
                     16,                 1.1505,                 2.2634,                 1.1996,                0.48794,                    0.6,                0.49079,                0.27592,                 1.7887,                 4.1932,                 1.9955,               0.001769,               0.001769,               0.001769
                     17,                 1.0525,                 2.0604,                 1.0406,                      1,                0.58487,                0.59591,                0.35225,                 1.9278,                 2.9925,                 2.2142,              0.0017525,              0.0017525,              0.0017525
                     18,                 1.1076,                   2.21,                 1.1642,                      1,                0.58881,                0.67528,                0.44399,                 1.5751,                 2.8406,                 1.7443,               0.001736,               0.001736,               0.001736
                     19,                  1.076,                 2.0025,                  1.166,                      1,                0.58881,                0.67528,                0.44399,                 1.5751,                 2.8406,                 1.7443,              0.0017195,              0.0017195,              0.0017195
                     20,                 1.1218,                 1.7842,                 1.1314,                0.96019,                    0.2,                0.41171,                0.24191,                 2.1257,                 3.2362,                 2.1955,               0.001703,               0.001703,               0.001703
                     21,                 1.2163,                 1.8913,                 1.1962,                 0.9435,                    0.2,                0.29717,                0.17229,                 2.1019,                 3.0551,                 2.1781,              0.0016865,              0.0016865,              0.0016865
                     22,                 1.1334,                 1.9308,                 1.1998,                0.60315,                    0.4,                0.37816,                0.22343,                 1.7706,                 2.8874,                 2.0556,                0.00167,                0.00167,                0.00167
                     23,                 1.2153,                 1.9506,                 1.2612,                0.96912,                    0.4,                0.42583,                0.23754,                  2.005,                 3.2744,                 2.2822,              0.0016535,              0.0016535,              0.0016535
                     24,                 1.0663,                 1.6919,                 1.0798,                0.96495,                    0.4,                0.44381,                0.20166,                 2.0759,                 3.4181,                 2.2169,               0.001637,               0.001637,               0.001637
