                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4304,                 3.9031,                 1.3208,                0.00333,                      1,                0.02574,                0.00988,                 2.5315,                 3.6494,                  2.567,                  0.091,                  0.001,                  0.001
                      2,                 1.7363,                 2.7734,                 1.4456,                0.00333,                      1,                0.00769,                0.00169,                 2.7141,                 3.6258,                 2.7493,               0.081064,              0.0020638,              0.0020638
                      3,                 1.9658,                 2.9735,                 1.6993,                0.00333,                      1,                0.00719,                0.00156,                 3.0102,                 3.6391,                 3.9324,                0.07109,              0.0030898,              0.0030898
                      4,                 2.1129,                 3.0221,                 1.6581,                0.00674,                    0.2,                0.00415,                0.00096,                 3.8388,                 14.596,                 40.896,               0.061078,              0.0040778,              0.0040778
                      5,                 2.2104,                 2.9132,                 1.8986,                0.00067,                    0.2,                0.00047,                  9e-05,                 4.5719,                 18.788,                 71.298,               0.051028,               0.005028,               0.005028
                      6,                 2.2056,                 2.6831,                 2.0212,                0.00067,                    0.2,                0.00047,                  9e-05,                 4.6721,                 281.78,                 13.716,                0.04094,              0.0059402,              0.0059402
                      7,                 2.3787,                 3.0457,                 2.1632,                0.00067,                    0.2,                0.00047,                  9e-05,                 4.3427,                 4089.2,                 17.688,               0.030815,              0.0068146,              0.0068146
                      8,                 2.4627,                 2.8373,                 2.1996,                0.00067,                    0.2,                0.00047,                  9e-05,                 5.7491,                    inf,                 163.21,               0.020651,               0.007651,               0.007651
                      9,                 2.3742,                 2.6559,                 2.1909,                0.00067,                    0.2,                0.00047,                  9e-05,                 5.0389,                    inf,                 230.87,                0.01045,              0.0084496,              0.0084496
                     10,                 2.4389,                 2.9595,                  2.307,                0.00067,                    0.2,                0.00047,                  9e-05,                 4.7938,                    inf,                 46.078,              0.0084498,              0.0084498,              0.0084498
                     11,                 2.3385,                 2.4124,                 2.1745,                0.00067,                    0.2,                0.00047,                  9e-05,                 5.9573,                    inf,                 27.991,              0.0084498,              0.0084498,              0.0084498
                     12,                 2.0715,                 2.4726,                 1.9529,                0.00067,                    0.2,                0.00047,                  9e-05,                 5.6829,                    inf,                 66.983,              0.0082776,              0.0082776,              0.0082776
                     13,                 2.2069,                 2.4008,                    2.1,                0.00067,                    0.2,                0.00047,                  9e-05,                 5.6829,                    inf,                 66.983,              0.0081053,              0.0081053,              0.0081053
                     14,                 2.5524,                 2.6879,                 2.2961,                0.00067,                    0.2,                0.00047,                  9e-05,                  5.264,                    inf,                 68.548,              0.0079331,              0.0079331,              0.0079331
                     15,                 2.2665,                  2.513,                 2.0083,                0.00067,                    0.2,                0.00047,                  9e-05,                 5.4073,                    inf,                 52.684,              0.0077609,              0.0077609,              0.0077609
                     16,                 2.3121,                 2.6223,                 2.1833,                0.00067,                    0.2,                0.00047,                  9e-05,                 4.3916,                    inf,                 44.024,              0.0075886,              0.0075886,              0.0075886
                     17,                 2.1773,                  2.383,                 1.7978,                0.00067,                    0.2,                0.00047,                  9e-05,                 4.6008,                    inf,                 32.714,              0.0074164,              0.0074164,              0.0074164
                     18,                 2.0301,                 2.5095,                 1.9169,                0.00067,                    0.2,                0.00047,                  9e-05,                 4.8062,                 3406.3,                 10.129,              0.0072441,              0.0072441,              0.0072441
                     19,                 2.1253,                 2.3185,                 2.0396,                0.00067,                    0.2,                0.00047,                  9e-05,                 4.8062,                 3406.3,                 10.129,              0.0070719,              0.0070719,              0.0070719
                     20,                 2.0628,                 2.3215,                 1.8685,                0.00067,                    0.2,                0.00047,                  9e-05,                 4.7979,                 1248.8,                 8.2204,              0.0068997,              0.0068997,              0.0068997
                     21,                 2.1729,                 2.4711,                 1.9071,                0.00067,                    0.2,                0.00047,                  9e-05,                 3.9825,                 51.291,                 6.7619,              0.0067274,              0.0067274,              0.0067274
                     22,                 2.1259,                 2.3582,                 2.0012,                0.00141,                    0.2,                0.00058,                0.00028,                 4.0047,                 129.54,                 9.8558,              0.0065552,              0.0065552,              0.0065552
