                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4304,                 3.9031,                 1.3208,                0.00333,                      1,                0.02574,                0.00988,                 2.5315,                 3.6494,                  2.567,                  0.091,                  0.001,                  0.001
                      2,                 1.7421,                 2.7646,                 1.4448,                0.00333,                      1,                0.01036,                0.00222,                 2.8847,                 3.6287,                  2.832,                0.08109,              0.0020896,              0.0020896
                      3,                 1.9065,                 2.8953,                 1.6836,                0.00267,                    0.8,                0.00569,                0.00115,                 3.1987,                 3.8882,                 4.7359,               0.071168,              0.0031683,              0.0031683
                      4,                 1.9589,                 2.8804,                 1.5244,                0.00194,                    0.2,                0.00358,                0.00045,                 4.1228,                 428.97,                 47.157,               0.061236,              0.0042361,              0.0042361
                      5,                 2.2734,                 2.8258,                 1.8596,                0.00543,                    0.2,                0.00154,                0.00093,                 3.9949,                 36.258,                 22.764,               0.051293,              0.0052931,              0.0052931
                      6,                 2.2903,                  2.667,                 1.9217,                 0.0019,                    0.4,                0.00123,                0.00049,                 3.5699,                 229.84,                 7.7239,               0.041339,              0.0063391,              0.0063391
                      7,                 2.3078,                 2.8039,                 2.0284,                0.00645,                    0.2,                0.00442,                0.00088,                 4.3978,                 1609.6,                 9.3688,               0.031374,              0.0073743,              0.0073743
                      8,                  2.307,                 2.5464,                 2.1887,                0.00067,                    0.2,                0.00043,                0.00026,                 4.2306,                    inf,                 43.803,               0.021399,              0.0083985,              0.0083985
                      9,                 2.3045,                 2.6043,                 2.0923,                0.00067,                    0.2,                0.00043,                0.00026,                 4.0169,                    inf,                 40.709,               0.011412,              0.0094119,              0.0094119
                     10,                 2.2786,                 2.9123,                 2.1997,                0.00067,                    0.2,                0.00043,                0.00026,                 4.0892,                    inf,                  60.39,              0.0095545,              0.0095545,              0.0095545
                     11,                 2.3227,                 2.5114,                 2.0161,                0.00067,                    0.2,                0.00043,                0.00026,                 4.1714,                    inf,                 94.773,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.9535,                  2.403,                 1.6291,                0.00067,                    0.2,                0.00043,                0.00026,                 4.2076,                    inf,                 67.516,               0.009505,               0.009505,               0.009505
                     13,                 2.2044,                   2.56,                 1.9199,                0.00067,                    0.2,                0.00043,                0.00026,                 4.2076,                    inf,                 67.516,              0.0094555,              0.0094555,              0.0094555
                     14,                 2.4611,                 2.6451,                  2.224,                0.00067,                    0.2,                0.00043,                0.00026,                    nan,                    nan,                    nan,               0.009406,               0.009406,               0.009406
                     15,                 2.2536,                 2.4127,                  1.964,                0.00067,                    0.2,                0.00043,                0.00026,                  5.013,                    inf,                 42.382,              0.0093565,              0.0093565,              0.0093565
                     16,                 2.1326,                 2.4606,                 1.9343,                0.00067,                    0.2,                 0.0004,                  4e-05,                 4.1248,                 754.55,                 6.3998,               0.009307,               0.009307,               0.009307
                     17,                 2.0922,                 2.2692,                 1.7385,                0.00631,                    0.2,                0.00224,                0.00112,                 4.1663,                 107.13,                 165.84,              0.0092575,              0.0092575,              0.0092575
                     18,                 2.1671,                  2.291,                 1.9684,                0.00631,                    0.2,                0.00224,                0.00112,                   4.59,                 864.09,                 427.92,               0.009208,               0.009208,               0.009208
                     19,                 2.1911,                 2.2423,                 2.0638,                0.00631,                    0.2,                0.00224,                0.00112,                   4.59,                 864.09,                 427.92,              0.0091585,              0.0091585,              0.0091585
                     20,                 2.1849,                 2.3152,                 1.9887,                0.00101,                    0.2,                0.00052,                  5e-05,                 4.4872,                    inf,                 538.79,               0.009109,               0.009109,               0.009109
                     21,                 2.1907,                 2.3793,                 1.9619,                0.00101,                    0.2,                0.00052,                  5e-05,                 3.9388,                    inf,                 530.59,              0.0090595,              0.0090595,              0.0090595
                     22,                 2.3029,                 2.4042,                  2.148,                0.00123,                    0.2,                0.00101,                 0.0001,                 4.1128,                    inf,                 198.71,                0.00901,                0.00901,                0.00901
                     23,                 2.2953,                 2.6036,                 2.0936,                0.00123,                    0.2,                0.00101,                 0.0001,                 4.1567,                 1959.3,                 226.13,              0.0089605,              0.0089605,              0.0089605
                     24,                 2.1931,                 2.0177,                 1.7943,                0.00532,                    0.2,                0.00146,                0.00029,                  4.298,                 451.53,                 207.69,               0.008911,               0.008911,               0.008911
                     25,                 2.1106,                 2.0486,                 1.8596,                0.00294,                    0.2,                0.00226,                0.00045,                 4.2055,                 270.71,                 178.88,              0.0088615,              0.0088615,              0.0088615
                     26,                 2.0537,                 2.2251,                 1.8038,                0.00294,                    0.2,                0.00226,                0.00045,                 4.2055,                 270.71,                 178.88,               0.008812,               0.008812,               0.008812
                     27,                 1.6367,                 1.8516,                 1.4851,                0.00276,                    0.4,                0.00224,                0.00053,                 3.8478,                  449.7,                  112.1,              0.0087625,              0.0087625,              0.0087625
                     28,                 2.0916,                 2.3848,                 1.9366,                0.00676,                    0.2,                 0.0022,                0.00073,                 3.5469,                 1308.5,                 101.71,               0.008713,               0.008713,               0.008713
                     29,                 2.2916,                 2.5447,                 2.1376,                0.00257,                    0.2,                0.00096,                0.00019,                 3.8337,                 1312.4,                 64.077,              0.0086635,              0.0086635,              0.0086635
                     30,                 2.1076,                 2.2256,                  1.823,                0.00402,                    0.2,                0.00205,                 0.0006,                 3.4809,                 769.87,                 53.705,               0.008614,               0.008614,               0.008614
                     31,                 1.8183,                 1.9403,                 1.5924,                0.00464,                    0.4,                0.02606,                0.00279,                 3.3634,                  903.9,                  43.44,              0.0085645,              0.0085645,              0.0085645
                     32,                  2.179,                 2.5515,                 1.8237,                0.00464,                    0.4,                0.02606,                0.00279,                 3.3634,                  903.9,                  43.44,               0.008515,               0.008515,               0.008515
                     33,                 2.0861,                 2.3756,                 1.8598,                0.00714,                    0.4,                0.01158,                0.00144,                 3.7731,                 664.52,                 9.6953,              0.0084655,              0.0084655,              0.0084655
                     34,                 2.0663,                 2.4865,                  1.915,                0.00492,                    0.2,                0.02194,                0.00641,                 3.7914,                 188.23,                 8.2953,               0.008416,               0.008416,               0.008416
                     35,                 1.8706,                 2.0765,                  1.759,                0.05405,                    0.2,                 0.0142,                0.00416,                 3.8263,                 10.867,                 6.2221,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.9808,                 2.3623,                 1.7896,                0.00656,                    0.2,                0.01546,                0.00528,                 3.7875,                 3.2471,                 9.9597,               0.008317,               0.008317,               0.008317
                     37,                 1.8643,                 2.1324,                 1.7628,                0.00587,                    0.2,                0.00366,                0.00175,                   3.72,                 12.495,                 6.8044,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.8269,                 2.0949,                 1.5869,                0.38119,                    0.2,                0.19827,                0.13782,                  3.285,                 16.106,                 4.3587,               0.008218,               0.008218,               0.008218
                     39,                 1.8893,                 1.9725,                 1.7228,                0.38119,                    0.2,                0.19827,                0.13782,                  3.285,                 16.106,                 4.3587,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.9089,                 2.0304,                 1.7829,                 0.3402,                    0.2,                0.21894,                0.13493,                 3.1658,                 22.561,                 4.0594,               0.008119,               0.008119,               0.008119
                     41,                 1.8489,                 1.9776,                 1.7521,                0.05503,                    0.2,                0.03121,                0.02007,                 2.6284,                 14.822,                 3.4781,              0.0080695,              0.0080695,              0.0080695
                     42,                  1.794,                  1.791,                 1.6266,                0.03542,                    0.2,                0.01318,                 0.0093,                 2.6807,                 30.482,                 3.4911,                0.00802,                0.00802,                0.00802
                     43,                 2.0936,                 2.4027,                 1.8238,                0.03677,                    0.2,                0.02627,                0.01361,                 2.8719,                 29.832,                 3.8182,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.7835,                 1.8481,                  1.658,                0.06612,                    0.2,                0.20299,                  0.121,                 2.8209,                 18.754,                  3.813,               0.007921,               0.007921,               0.007921
                     45,                 1.8309,                 2.0048,                 1.5746,                0.06612,                    0.2,                0.20299,                  0.121,                 2.8209,                 18.754,                  3.813,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.9018,                 1.9788,                   1.68,                 0.7458,                    0.2,                0.20577,                0.18071,                 2.7625,                 6.5263,                 3.7034,               0.007822,               0.007822,               0.007822
