                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.92144,                 1.5553,                 1.1196,                0.98327,                    0.6,                0.73429,                0.40434,                 1.1729,                 2.1328,                 1.5652,             0.00093655,             0.00093655,             0.00093655
                     36,                0.94562,                 1.4921,                   1.07,                0.94524,                    0.4,                0.64934,                0.38265,                 1.2803,                  2.229,                 1.4864,             0.00090432,             0.00090432,             0.00090432
                     37,                 1.0183,                 1.7104,                 1.1559,                0.79986,                0.79943,                 0.7775,                0.43085,                 1.4451,                 2.0203,                 1.6055,              0.0008721,              0.0008721,              0.0008721
                     38,                0.87379,                 1.6639,                  0.958,                0.96452,                    0.8,                0.85056,                0.45995,                 1.4409,                 2.0442,                 1.7322,             0.00083987,             0.00083987,             0.00083987
                     39,                0.91824,                 1.2566,                 1.0709,                0.96452,                    0.8,                0.85056,                0.45995,                 1.4409,                 2.0442,                 1.7322,             0.00080765,             0.00080765,             0.00080765
                     40,                0.85662,                 1.2907,                 1.0583,                0.66131,                0.78393,                   0.72,                0.44154,                 1.3676,                 2.0023,                 1.6113,             0.00077542,             0.00077542,             0.00077542
                     41,                0.90362,                 1.3885,                 1.0851,                      1,                0.55902,                0.73706,                0.42885,                 1.3204,                 2.0695,                 1.4626,             0.00074319,             0.00074319,             0.00074319
                     42,                0.85545,                 1.2341,                0.98138,                 0.9433,                    0.4,                0.61628,                0.40821,                 1.3327,                 2.1047,                 1.4813,             0.00071097,             0.00071097,             0.00071097
                     43,                0.95665,                 1.4114,                 1.0462,                0.47201,                    0.8,                 0.6569,                0.45188,                  1.381,                   1.95,                 1.5439,             0.00067874,             0.00067874,             0.00067874
                     44,                0.79915,                 1.1646,                 1.0239,                0.76566,                0.66266,                 0.7775,                0.56785,                 1.2817,                 1.8949,                 1.4693,             0.00064652,             0.00064652,             0.00064652
                     45,                0.77553,                 1.2372,                0.94913,                0.76566,                0.66266,                 0.7775,                0.56785,                 1.2817,                 1.8949,                 1.4693,             0.00061429,             0.00061429,             0.00061429
                     46,                0.82582,                  1.271,                0.98821,                      1,                0.59767,                0.76484,                0.41405,                 1.4155,                  2.128,                 1.6091,             0.00058206,             0.00058206,             0.00058206
                     47,                0.83766,                  1.211,                0.93822,                0.98523,                    0.6,                0.77595,                0.39325,                 1.4089,                 2.2009,                 1.6434,             0.00054984,             0.00054984,             0.00054984
                     48,                0.78282,                 1.1923,                 1.0351,                0.96994,                    0.6,                0.77833,                0.36234,                  1.391,                 2.2136,                 1.6843,             0.00051761,             0.00051761,             0.00051761
                     49,                0.82697,                 1.2729,                 1.0381,                0.96841,                    0.6,                0.74632,                0.38668,                   1.44,                 2.1527,                 1.7385,             0.00048539,             0.00048539,             0.00048539
                     50,                0.81922,                 1.2704,                 1.1227,                0.96449,                    0.6,                0.70953,                 0.3822,                 1.3063,                 2.3288,                 1.6092,             0.00045316,             0.00045316,             0.00045316
                     51,                0.83911,                 1.3319,                 1.0784,                0.95511,                    0.6,                0.69164,                0.40034,                 1.3259,                  2.364,                 1.5871,             0.00042094,             0.00042094,             0.00042094
                     52,                0.79027,                  1.151,                0.97054,                0.95511,                    0.6,                0.69164,                0.40034,                 1.3259,                  2.364,                 1.5871,             0.00038871,             0.00038871,             0.00038871
                     53,                0.71651,                 1.2882,                 1.0252,                0.92176,                    0.6,                0.68532,                0.38679,                 1.3285,                 2.6473,                 1.5678,             0.00035648,             0.00035648,             0.00035648
                     54,                0.76101,                  1.278,                  1.051,                0.90111,                    0.6,                 0.7104,                0.41368,                 1.2854,                 2.4736,                  1.551,             0.00032426,             0.00032426,             0.00032426
                     55,                0.70654,                 1.3278,                0.96376,                0.86225,                    0.6,                0.71086,                0.44628,                 1.2489,                 2.3867,                 1.5018,             0.00029203,             0.00029203,             0.00029203
                     56,                0.78317,                 1.3943,                 1.0485,                      1,                0.58656,                0.69625,                0.47832,                 1.1839,                 2.2983,                 1.4579,             0.00025981,             0.00025981,             0.00025981
                     57,                0.71869,                 1.5699,                 1.0317,                 0.5906,                    0.6,                0.64679,                0.45987,                 1.1501,                 2.1347,                  1.447,             0.00022758,             0.00022758,             0.00022758
                     58,                0.71825,                  1.369,                  1.039,                 0.5906,                    0.6,                0.64679,                0.45987,                 1.1501,                 2.1347,                  1.447,             0.00019535,             0.00019535,             0.00019535
                     59,                0.71958,                 1.3443,                 1.0241,                0.58077,                    0.6,                0.61774,                0.44891,                  1.101,                   2.12,                 1.3698,             0.00016313,             0.00016313,             0.00016313
                     60,                0.65135,                 1.2691,                0.95321,                0.43648,                    0.8,                0.60032,                0.45278,                  1.074,                 2.0513,                  1.346,              0.0001309,              0.0001309,              0.0001309
                     61,                0.63394,                 1.2108,                0.97157,                 0.5592,                0.76577,                0.63944,                0.49057,                 1.1071,                 1.9429,                 1.3731,             9.8677e-05,             9.8677e-05,             9.8677e-05
                     62,                0.65723,                  1.221,                0.94878,                0.48946,                    0.8,                0.61461,                0.47518,                 1.1212,                 1.8771,                 1.3864,             6.6452e-05,             6.6452e-05,             6.6452e-05
