                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5384,                  3.859,                 1.3701,                  0.002,                    0.6,                0.00207,                0.00042,                 3.0242,                 4.6599,                 3.7163,                  0.092,                  0.002,                  0.002
                      2,                 2.1529,                 3.5114,                 1.8672,                  0.002,                    0.6,                0.00207,                0.00042,                 5.0962,                    inf,                 6888.5,               0.083165,              0.0041652,              0.0041652
                      3,                   2.53,                 3.1035,                 2.4003,                  0.002,                    0.6,                0.00207,                0.00042,                    nan,                    nan,                    nan,               0.074294,              0.0062939,              0.0062939
                      4,                  2.588,                 3.1272,                 2.3183,                  0.002,                    0.6,                0.00207,                0.00042,                    nan,                    nan,                    nan,               0.065386,              0.0083861,              0.0083861
                      5,                 2.7483,                 3.0596,                 2.3596,                  0.002,                    0.6,                0.00207,                0.00042,                    nan,                    nan,                    nan,               0.056442,               0.010442,               0.010442
                      6,                 2.7218,                 2.9652,                 2.4874,                  0.002,                    0.6,                0.00207,                0.00042,                    nan,                    nan,                    nan,               0.047461,               0.012461,               0.012461
                      7,                 2.6644,                 3.5981,                 2.3797,                  0.002,                    0.6,                0.00207,                0.00042,                    nan,                    nan,                    nan,               0.038444,               0.014444,               0.014444
                      8,                 2.5476,                 3.3085,                 2.4767,                  0.002,                    0.6,                0.00207,                0.00042,                    nan,                    nan,                    nan,                0.02939,                0.01639,                0.01639
                      9,                 2.6819,                 3.2258,                 2.3963,                  0.002,                    0.6,                0.00207,                0.00042,                    nan,                    nan,                    nan,                 0.0203,                 0.0183,                 0.0183
                     10,                 2.5681,                 3.2827,                 2.4555,                  0.002,                    0.6,                0.00207,                0.00042,                 4.4729,                    inf,                    811,               0.018508,               0.018508,               0.018508
                     11,                  2.623,                 2.8706,                 2.3858,                  0.002,                    0.6,                0.00207,                0.00042,                 4.4748,                    inf,                  600.8,               0.018508,               0.018508,               0.018508
                     12,                 2.2511,                 2.7357,                 2.1213,                  0.002,                    0.6,                0.00207,                0.00042,                 4.3172,                    inf,                 783.41,               0.018342,               0.018342,               0.018342
                     13,                 2.5103,                 2.7272,                 2.4688,                  0.002,                    0.6,                0.00207,                0.00042,                 4.3172,                    inf,                 783.41,               0.018176,               0.018176,               0.018176
                     14,                 2.9947,                 3.1307,                 2.8718,                0.00071,                    0.2,                0.00041,                  4e-05,                    nan,                    nan,                    nan,                0.01801,                0.01801,                0.01801
                     15,                 2.6115,                 2.9664,                 2.4439,                0.00071,                    0.2,                0.00041,                  4e-05,                    nan,                    nan,                    nan,               0.017844,               0.017844,               0.017844
