                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3143,                 3.9999,                 1.3136,                0.00333,                      1,                0.10185,                0.03619,                 1.7412,                 3.5208,                 1.6811,                 0.0903,                 0.0003,                 0.0003
                      2,                 1.2421,                 2.6124,                 1.1591,                0.00333,                      1,                0.44353,                0.16927,                 1.5859,                 3.3118,                 1.7642,                0.07962,              0.0006196,              0.0006196
                      3,                 1.2252,                 2.0636,                 1.1651,                0.00286,                    0.8,                0.44075,                0.15663,                 1.4824,                 3.1733,                 1.9941,               0.068928,             0.00092832,             0.00092832
                      4,                 1.2395,                 1.8836,                 1.1065,                0.00568,                      1,                 0.4151,                0.20886,                 1.6446,                 3.0572,                 1.7881,               0.058226,              0.0012261,              0.0012261
                      5,                 1.4194,                 2.0055,                 1.2245,                0.19242,                    0.2,                0.15738,                0.08523,                 1.8392,                 2.5794,                  3.194,               0.047513,              0.0015131,              0.0015131
                      6,                 1.3262,                 1.9851,                 1.3303,                0.85142,                    0.6,                0.61604,                0.33374,                 1.5642,                 2.2626,                 2.4149,               0.036789,              0.0017891,              0.0017891
                      7,                 1.3309,                 1.9848,                 1.2892,                0.96203,                    0.4,                0.43975,                0.31469,                 1.7415,                 1.9687,                 2.1832,               0.026054,              0.0020543,              0.0020543
                      8,                 1.1498,                 1.6631,                 1.2185,                0.23707,                    0.2,                0.22663,                0.15026,                 2.1805,                 5.6224,                 3.0689,               0.015309,              0.0023085,              0.0023085
                      9,                 1.3269,                 1.6756,                 1.2526,                0.41581,                    0.2,                0.22986,                0.10574,                 2.2188,                 4.9688,                 3.0246,              0.0045519,              0.0025519,              0.0025519
                     10,                 1.6796,                 1.9403,                 1.6109,                0.20649,                    0.4,                0.12423,                 0.0473,                 2.5025,                 3.1372,                 3.1576,              0.0025545,              0.0025545,              0.0025545
                     11,                 1.4491,                  1.703,                 1.3312,                0.13882,                    0.6,                0.15015,                0.05155,                 1.9957,                 3.5547,                 2.8733,              0.0025545,              0.0025545,              0.0025545
                     12,                 1.1355,                 1.4914,                 1.1319,                0.39568,                    0.4,                0.48043,                0.25408,                 1.6842,                 4.2204,                 2.6463,               0.002505,               0.002505,               0.002505
                     13,                 1.2577,                 1.4897,                 1.3374,                0.39568,                    0.4,                0.48043,                0.25408,                 1.6842,                 4.2204,                 2.6463,              0.0024555,              0.0024555,              0.0024555
                     14,                 1.5063,                 1.7708,                  1.562,                0.21383,                    0.6,                0.21607,                 0.0794,                 1.5598,                 6.5091,                 2.3642,               0.002406,               0.002406,               0.002406
                     15,                 1.3243,                 1.5295,                 1.2995,                    0.5,                    0.2,                0.23051,                0.15942,                 1.6711,                 9.6875,                 1.9842,              0.0023565,              0.0023565,              0.0023565
                     16,                 1.3809,                   1.72,                 1.4547,                      1,                    0.2,                0.34119,                0.18485,                 1.7259,                 8.5981,                 2.2643,               0.002307,               0.002307,               0.002307
                     17,                 1.3405,                 1.5886,                 1.2644,                 0.4819,                    0.4,                0.42147,                0.28586,                 1.7347,                 4.5835,                 2.2116,              0.0022575,              0.0022575,              0.0022575
                     18,                 1.3781,                 1.6292,                 1.3566,                0.74266,                0.58238,                0.55214,                0.38504,                 2.0177,                 2.4481,                 2.6226,               0.002208,               0.002208,               0.002208
                     19,                 1.3571,                 1.7603,                 1.3539,                0.74266,                0.58238,                0.55214,                0.38504,                 2.0177,                 2.4481,                 2.6226,              0.0021585,              0.0021585,              0.0021585
                     20,                 1.3341,                 1.6688,                 1.3086,                0.73668,                    0.6,                0.59981,                0.32455,                 2.1771,                 2.4859,                 3.4835,               0.002109,               0.002109,               0.002109
                     21,                 1.3609,                 1.6327,                 1.3251,                0.51388,                    0.6,                0.50193,                0.21202,                 2.0292,                 4.1435,                 3.5013,              0.0020595,              0.0020595,              0.0020595
                     22,                 1.2697,                 1.5878,                 1.3402,                0.56783,                    0.6,                 0.5568,                0.30128,                 2.1654,                 3.1603,                  2.988,                0.00201,                0.00201,                0.00201
                     23,                 1.4085,                 1.6854,                 1.4081,                0.84896,                    0.4,                0.47743,                0.29123,                 2.4151,                 2.5916,                 3.2787,              0.0019605,              0.0019605,              0.0019605
                     24,                 1.1995,                 1.3568,                 1.1566,                0.86676,                    0.4,                0.57705,                0.31271,                 2.1462,                 2.9054,                 2.5031,               0.001911,               0.001911,               0.001911
                     25,                 1.1738,                 1.3897,                 1.1557,                0.76212,                    0.4,                0.56365,                0.21892,                 2.0219,                 2.9238,                 2.4087,              0.0018615,              0.0018615,              0.0018615
                     26,                 1.2069,                 1.4449,                 1.2509,                0.76212,                    0.4,                0.56365,                0.21892,                 2.0219,                 2.9238,                 2.4087,               0.001812,               0.001812,               0.001812
                     27,                0.98202,                 1.2589,                 1.0195,                0.82964,                    0.4,                0.52425,                0.26595,                   1.86,                 2.6767,                 2.3392,              0.0017625,              0.0017625,              0.0017625
                     28,                 1.1877,                  1.449,                 1.3001,                0.93752,                    0.4,                0.48241,                0.34168,                 1.7607,                 2.3904,                  2.132,               0.001713,               0.001713,               0.001713
                     29,                  1.313,                 1.5998,                 1.3903,                0.91077,                    0.4,                0.46155,                 0.3378,                 1.6247,                 2.1726,                 1.9642,              0.0016635,              0.0016635,              0.0016635
                     30,                 1.2627,                 1.3655,                 1.2079,                0.91995,                    0.4,                0.42404,                0.30388,                 1.7909,                 2.2193,                 2.2084,               0.001614,               0.001614,               0.001614
                     31,                0.99821,                  1.316,                 1.0574,                0.90282,                    0.4,                0.44169,                0.26656,                 1.6903,                  2.266,                 2.0607,              0.0015645,              0.0015645,              0.0015645
                     32,                 1.2737,                 1.5039,                 1.2489,                0.90282,                    0.4,                0.44169,                0.26656,                 1.6903,                  2.266,                 2.0607,               0.001515,               0.001515,               0.001515
                     33,                 1.2891,                 1.4283,                 1.2664,                0.83761,                    0.4,                0.41905,                0.26611,                 1.6509,                 2.3605,                 2.0296,              0.0014655,              0.0014655,              0.0014655
                     34,                 1.3215,                  1.486,                 1.3508,                0.63755,                    0.4,                0.39007,                0.23385,                 1.7557,                 2.1162,                 2.1224,               0.001416,               0.001416,               0.001416
                     35,                 1.1658,                 1.3699,                 1.3092,                0.62142,                    0.4,                0.36744,                0.21235,                 1.7939,                 2.0144,                 2.2538,              0.0013665,              0.0013665,              0.0013665
                     36,                 1.2102,                 1.3153,                 1.2031,                0.49884,                0.59768,                0.46321,                0.21763,                  1.734,                 2.1229,                 2.0499,               0.001317,               0.001317,               0.001317
                     37,                 1.1072,                 1.4298,                 1.2783,                0.49039,                    0.8,                0.46663,                0.23539,                 1.7554,                 2.2257,                  2.004,              0.0012675,              0.0012675,              0.0012675
                     38,                 1.0803,                 1.2936,                 1.1014,                 0.4585,                    0.8,                0.42382,                0.22935,                 1.6909,                 2.3989,                 1.9284,               0.001218,               0.001218,               0.001218
                     39,                 1.1971,                 1.1718,                  1.239,                 0.4585,                    0.8,                0.42382,                0.22935,                 1.6909,                 2.3989,                 1.9284,              0.0011685,              0.0011685,              0.0011685
                     40,                 1.1956,                 1.3169,                 1.2205,                0.50869,                    0.8,                0.50429,                0.26753,                 1.5978,                  2.582,                 1.8628,               0.001119,               0.001119,               0.001119
                     41,                 1.1515,                 1.3273,                 1.2206,                0.44894,                    0.8,                0.52392,                0.29322,                 1.5423,                 2.6214,                 1.8311,              0.0010695,              0.0010695,              0.0010695
                     42,                 1.0791,                 1.1143,                 1.1011,                0.36066,                    0.8,                0.42791,                0.23963,                 1.4516,                 2.7809,                 1.7187,                0.00102,                0.00102,                0.00102
                     43,                 1.1044,                 1.1893,                 1.1617,                0.47102,                    0.8,                0.61083,                0.40601,                 1.4121,                  2.238,                  1.726,              0.0009705,              0.0009705,              0.0009705
                     44,                 1.0407,                0.98559,                 1.1081,                0.54937,                    0.8,                0.69179,                0.44474,                 1.4635,                 1.7479,                 1.7624,               0.000921,               0.000921,               0.000921
                     45,                0.97222,                 1.0287,                  1.026,                0.54937,                    0.8,                0.69179,                0.44474,                 1.4635,                 1.7479,                 1.7624,              0.0008715,              0.0008715,              0.0008715
