                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.391,                 4.1123,                 1.3787,                0.00333,                      1,                 0.2423,                0.13473,                 1.2972,                 3.6102,                 1.4461,                 0.0002,                 0.0002,                 0.0002
                      2,                 1.0871,                 3.1873,                 1.1136,                0.00333,                      1,                0.52308,                0.24496,                 1.6624,                 3.8046,                 1.8086,             0.00041318,             0.00041318,             0.00041318
                      3,                0.99822,                 2.3088,                 1.0535,                0.00472,                      1,                0.57786,                0.34784,                 1.3805,                 3.6116,                 1.6481,             0.00061923,             0.00061923,             0.00061923
                      4,                 1.0418,                 2.3849,                 1.0133,                0.00333,                      1,                0.63292,                0.48225,                 1.2957,                 3.5808,                 1.4557,             0.00081813,             0.00081813,             0.00081813
                      5,                  1.247,                 2.2804,                 1.1367,                      1,                0.31781,                0.63035,                0.38337,                 1.2123,                 3.8468,                 1.4108,              0.0010099,              0.0010099,              0.0010099
                      6,                 1.1043,                 2.0645,                 1.1113,                      1,                0.38294,                0.59603,                0.38656,                 1.6984,                 3.5862,                  1.887,              0.0011945,              0.0011945,              0.0011945
                      7,                 1.1598,                 2.3029,                 1.1433,                      1,                0.50691,                 0.6003,                0.40734,                 1.6248,                 3.5862,                 1.7135,               0.001372,               0.001372,               0.001372
                      8,                 1.0069,                 2.1196,                 1.1456,                0.99131,                    0.4,                0.39976,                0.31729,                 1.9145,                 3.1676,                 2.6723,              0.0015423,              0.0015423,              0.0015423
                      9,                 1.1432,                 2.0263,                 1.1422,                      1,                 0.3968,                 0.4623,                0.34899,                 1.4303,                 3.7036,                 1.9988,              0.0017055,              0.0017055,              0.0017055
                     10,                 1.1183,                 2.2038,                 1.1692,                0.28099,                    0.4,                0.32487,                0.22115,                  2.083,                 4.4774,                  2.788,              0.0017079,              0.0017079,              0.0017079
                     11,                 1.2268,                 2.1615,                 1.1935,                0.44206,                    0.4,                0.37041,                 0.1628,                 2.0917,                 5.0307,                 2.9024,              0.0017079,              0.0017079,              0.0017079
                     12,                   1.01,                 2.3432,                 1.0074,                0.94022,                    0.6,                0.64308,                0.23965,                 2.2881,                 3.6346,                 3.0296,              0.0016754,              0.0016754,              0.0016754
                     13,                 1.0638,                 1.7423,                 1.1671,                0.94022,                    0.6,                0.64308,                0.23965,                 2.2881,                 3.6346,                 3.0296,               0.001643,               0.001643,               0.001643
                     14,                 1.1163,                 2.1313,                 1.2951,                0.45643,                    0.4,                0.39575,                0.09801,                 1.9001,                 8.1774,                 2.1416,              0.0016105,              0.0016105,              0.0016105
                     15,                 1.0647,                 1.8722,                 1.1045,                0.15234,                    0.4,                0.14196,                0.03994,                 1.9965,                 13.293,                 2.4838,               0.001578,               0.001578,               0.001578
                     16,                 1.1433,                 2.1068,                 1.1777,                0.54581,                    0.2,                0.24473,                0.16957,                 2.1233,                 4.5273,                 2.6683,              0.0015456,              0.0015456,              0.0015456
                     17,                 1.0679,                 2.1538,                 1.0459,                0.97808,                    0.4,                0.48732,                0.24875,                 1.8384,                  2.749,                 1.9538,              0.0015131,              0.0015131,              0.0015131
                     18,                  1.143,                 2.4178,                 1.1564,                0.92845,                    0.4,                0.46365,                 0.3079,                 1.5978,                 2.6154,                 1.9365,              0.0014807,              0.0014807,              0.0014807
                     19,                 1.0818,                 2.0137,                 1.1401,                0.92845,                    0.4,                0.46365,                 0.3079,                 1.5978,                 2.6154,                 1.9365,              0.0014482,              0.0014482,              0.0014482
                     20,                 1.0543,                 1.8358,                  1.082,                0.59947,                0.59894,                0.46441,                0.22415,                 2.1041,                 3.1775,                 2.7858,              0.0014157,              0.0014157,              0.0014157
                     21,                 1.1096,                 1.7655,                 1.1233,                0.38045,                    0.6,                0.42932,                0.19646,                 1.8614,                 4.2851,                 2.4453,              0.0013833,              0.0013833,              0.0013833
                     22,                 1.0785,                 1.7749,                 1.1302,                0.49212,                    0.6,                0.53024,                0.32144,                 1.4646,                 3.1164,                 1.7327,              0.0013508,              0.0013508,              0.0013508
                     23,                 1.0933,                   1.85,                 1.1729,                0.48886,                0.76881,                0.60716,                0.39293,                 1.2929,                 2.4484,                 1.6313,              0.0013184,              0.0013184,              0.0013184
                     24,                0.95595,                 1.4892,                 1.0044,                0.54344,                    0.8,                0.58223,                0.37917,                  1.349,                 2.4145,                 1.6369,              0.0012859,              0.0012859,              0.0012859
                     25,                0.99106,                 1.6253,                 1.0079,                      1,                0.76081,                 0.8575,                0.42879,                 1.2435,                 2.2423,                 1.5639,              0.0012534,              0.0012534,              0.0012534
                     26,                0.93087,                  1.548,                 1.0386,                      1,                0.76081,                 0.8575,                0.42879,                 1.2435,                 2.2423,                 1.5639,               0.001221,               0.001221,               0.001221
                     27,                0.76833,                 2.0482,                0.90574,                0.79786,                    0.8,                0.87833,                0.51076,                 1.2347,                  2.186,                 1.5982,              0.0011885,              0.0011885,              0.0011885
                     28,                0.98633,                 1.6038,                 1.1131,                 0.9722,                    0.4,                0.66929,                0.42092,                 1.3657,                 2.2924,                 1.7616,              0.0011561,              0.0011561,              0.0011561
                     29,                 1.0448,                 1.8303,                 1.2276,                0.96245,                    0.4,                0.52917,                0.36226,                 1.5753,                 2.4389,                 1.8538,              0.0011236,              0.0011236,              0.0011236
                     30,                 1.0086,                 1.6187,                 1.0572,                 0.8901,                    0.4,                0.54872,                0.37458,                 1.6356,                  2.397,                 2.0157,              0.0010911,              0.0010911,              0.0010911
                     31,                0.79043,                 1.6822,                0.94578,                0.59279,                0.58558,                0.60584,                0.42344,                 1.5452,                  2.428,                 1.9133,              0.0010587,              0.0010587,              0.0010587
                     32,                 1.0452,                 2.0368,                 1.1512,                0.59279,                0.58558,                0.60584,                0.42344,                 1.5452,                  2.428,                 1.9133,              0.0010262,              0.0010262,              0.0010262
                     33,                 1.0106,                  1.652,                 1.0656,                0.57789,                    0.6,                0.52113,                0.29874,                 1.7329,                 2.7562,                 2.1003,             0.00099377,             0.00099377,             0.00099377
                     34,                 1.0658,                 1.7523,                 1.1566,                0.47665,                    0.6,                0.47806,                0.27735,                 1.7421,                 2.7753,                 2.0057,             0.00096131,             0.00096131,             0.00096131
                     35,                0.95973,                 1.6185,                 1.1246,                0.60008,                    0.4,                0.44341,                0.29812,                 1.6758,                 2.6706,                 2.1427,             0.00092885,             0.00092885,             0.00092885
                     36,                 1.0128,                 1.5231,                 1.0566,                0.61166,                    0.4,                0.55297,                0.39985,                 1.3134,                 2.5388,                 1.5346,             0.00089639,             0.00089639,             0.00089639
                     37,                 1.0443,                 1.7101,                 1.1399,                0.74265,                    0.6,                0.62203,                0.37837,                 1.4022,                 2.5473,                 1.7066,             0.00086393,             0.00086393,             0.00086393
                     38,                0.83485,                 1.6952,                0.92722,                0.66204,                    0.6,                0.61881,                0.37251,                 1.4172,                 2.9243,                 1.7393,             0.00083148,             0.00083148,             0.00083148
                     39,                0.84148,                 1.2907,                 1.0591,                0.66204,                    0.6,                0.61881,                0.37251,                 1.4172,                 2.9243,                 1.7393,             0.00079902,             0.00079902,             0.00079902
                     40,                0.93039,                 1.3792,                 1.0734,                0.48754,                    0.8,                0.63204,                0.38196,                 1.3347,                 2.7442,                 1.6682,             0.00076656,             0.00076656,             0.00076656
                     41,                0.88384,                 1.4369,                   1.05,                0.59645,                    0.6,                 0.6575,                 0.4245,                 1.3623,                 2.6699,                 1.7112,              0.0007341,              0.0007341,              0.0007341
                     42,                0.90473,                 1.2485,                 0.9913,                0.61798,                    0.8,                0.68389,                0.47193,                 1.3479,                 2.5375,                 1.7035,             0.00070164,             0.00070164,             0.00070164
                     43,                0.87838,                 1.4699,                 1.0569,                      1,                 0.7636,                0.87192,                0.49641,                 1.4065,                 2.1228,                 1.7891,             0.00066918,             0.00066918,             0.00066918
                     44,                0.78623,                 1.1696,                0.97729,                0.97667,                    0.8,                0.87833,                0.51951,                 1.4447,                 1.9362,                 1.8869,             0.00063672,             0.00063672,             0.00063672
                     45,                0.72119,                 1.2343,                 0.9174,                0.97667,                    0.8,                0.87833,                0.51951,                 1.4447,                 1.9362,                 1.8869,             0.00060426,             0.00060426,             0.00060426
                     46,                0.84179,                 1.2321,                 0.9734,                0.78484,                    0.8,                0.75833,                0.44753,                 1.4164,                 1.9068,                 1.8965,              0.0005718,              0.0005718,              0.0005718
                     47,                 0.8246,                 1.1778,                0.93974,                0.78669,                    0.8,                  0.775,                0.44012,                 1.3427,                 1.7824,                 1.7145,             0.00053934,             0.00053934,             0.00053934
                     48,                0.80606,                 1.2509,                 1.0231,                0.78647,                    0.8,                0.82611,                0.47737,                 1.3664,                 1.7073,                 1.6497,             0.00050689,             0.00050689,             0.00050689
                     49,                0.78547,                 1.2672,                 1.0139,                0.98257,                    0.8,                0.93786,                0.56766,                 1.2827,                 1.7056,                 1.5599,             0.00047443,             0.00047443,             0.00047443
                     50,                0.87122,                 1.3511,                 1.0957,                 0.9839,                    0.8,                0.90611,                0.60201,                 1.2617,                 1.6225,                 1.5177,             0.00044197,             0.00044197,             0.00044197
                     51,                0.87181,                 1.3706,                 1.0475,                 0.9828,                    0.8,                0.87833,                0.63857,                 1.2879,                 1.6533,                 1.5991,             0.00040951,             0.00040951,             0.00040951
                     52,                0.72062,                 1.3515,                0.96111,                 0.9828,                    0.8,                0.87833,                0.63857,                 1.2879,                 1.6533,                 1.5991,             0.00037705,             0.00037705,             0.00037705
                     53,                0.63172,                  1.231,                0.91766,                0.98379,                    0.8,                0.86167,                0.60723,                 1.2276,                 1.5753,                 1.5497,             0.00034459,             0.00034459,             0.00034459
                     54,                0.74514,                 1.3217,                 1.0041,                0.77914,                    0.8,                0.80763,                0.55676,                 1.1902,                 1.5453,                 1.4994,             0.00031213,             0.00031213,             0.00031213
                     55,                 0.6987,                 1.2646,                0.98539,                 0.7735,                    0.8,                0.80763,                0.55676,                 1.2038,                 1.5763,                 1.4899,             0.00027967,             0.00027967,             0.00027967
                     56,                0.94424,                 1.4299,                 1.2815,                 0.7956,                    0.8,                0.84045,                0.56412,                 1.2077,                 1.5825,                  1.517,             0.00024721,             0.00024721,             0.00024721
                     57,                0.66101,                 1.2411,                0.95669,                0.89293,                    0.8,                0.84262,                0.61167,                 1.2443,                 1.6264,                 1.5376,             0.00021475,             0.00021475,             0.00021475
                     58,                0.74689,                 1.2861,                 1.0394,                0.89293,                    0.8,                0.84262,                0.61167,                 1.2443,                 1.6264,                 1.5376,              0.0001823,              0.0001823,              0.0001823
                     59,                0.75698,                 1.2379,                0.97552,                 0.8821,                    0.8,                0.83848,                0.58233,                 1.2909,                 1.6669,                 1.5959,             0.00014984,             0.00014984,             0.00014984
