                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9481,                 4.4586,                 1.6876,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                  0.095,                  0.005,                  0.005
                      2,                 3.3029,                 4.4273,                 2.9342,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.089327,               0.010327,               0.010327
                      3,                 3.3483,                 4.2964,                  3.228,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.083472,               0.015472,               0.015472
                      4,                 3.5386,                 3.7675,                 3.4152,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.077436,               0.020436,               0.020436
                      5,                 3.6291,                 3.9686,                 3.5317,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.071218,               0.025218,               0.025218
                      6,                  3.097,                 3.9438,                 3.0635,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.064819,               0.029819,               0.029819
                      7,                 3.0841,                 3.9265,                 3.0787,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.058238,               0.034238,               0.034238
                      8,                 2.9281,                 3.8788,                 3.1557,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.051476,               0.038476,               0.038476
                      9,                 2.8146,                 3.8314,                 3.0314,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.044532,               0.042532,               0.042532
                     10,                 2.6149,                  3.826,                 2.9659,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.042575,               0.042575,               0.042575
                     11,                 2.7678,                 3.5702,                 3.1172,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.042575,               0.042575,               0.042575
                     12,                  2.586,                   3.47,                 3.1544,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.04175,                0.04175,                0.04175
                     13,                 2.7508,                 3.5003,                 3.2591,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.040925,               0.040925,               0.040925
