                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4304,                 3.9031,                 1.3208,                0.00333,                      1,                0.02574,                0.00988,                 2.5315,                 3.6494,                  2.567,                  0.091,                  0.001,                  0.001
                      2,                 1.7418,                 2.7648,                 1.4457,                0.00333,                      1,                0.00812,                0.00209,                 2.8327,                  3.552,                 2.7707,               0.081083,              0.0020827,              0.0020827
                      3,                 1.8971,                 2.9393,                 1.6532,                0.00267,                    0.8,                0.00941,                0.00389,                 2.6689,                 3.5716,                 3.3522,               0.071147,              0.0031472,              0.0031472
                      4,                 2.0387,                  2.865,                 1.7392,                0.00333,                      1,                0.01101,                 0.0029,                 3.0139,                 3.7627,                 4.7824,               0.061194,              0.0041936,              0.0041936
                      5,                   2.26,                 3.0479,                 1.8552,                0.02321,                    0.2,                0.00618,                0.00062,                  4.864,                 10.148,                 8.9495,               0.051222,              0.0052218,              0.0052218
                      6,                 2.3987,                 2.8542,                 2.0955,                0.00386,                    0.6,                0.00755,                0.00204,                 3.6755,                    inf,                 201.85,               0.041232,              0.0062319,              0.0062319
                      7,                 2.3575,                 2.8636,                 2.0826,                0.00174,                    0.4,                0.00179,                0.00037,                  3.604,                    inf,                 409.54,               0.031224,              0.0072238,              0.0072238
                      8,                 2.3738,                 2.8231,                 2.2808,                0.00174,                    0.4,                0.00179,                0.00037,                 3.9701,                 1043.1,                  10.44,               0.021198,              0.0081976,              0.0081976
                      9,                 2.4516,                 2.8893,                   2.33,                0.00174,                    0.4,                0.00179,                0.00037,                 2.7114,                 6.9864,                 8.3415,               0.011153,              0.0091532,              0.0091532
                     10,                  2.411,                 3.2153,                 2.4131,                0.00174,                    0.4,                0.00179,                0.00037,                 3.2087,                  12.69,                 8.3863,              0.0092575,              0.0092575,              0.0092575
                     11,                 2.4445,                 2.6248,                  2.182,                0.00174,                    0.4,                0.00179,                0.00037,                 3.8523,                 93.063,                 8.6737,              0.0092575,              0.0092575,              0.0092575
                     12,                 1.9755,                 2.4552,                 1.8177,                0.00174,                    0.4,                0.00179,                0.00037,                 3.6986,                 250.56,                 8.6856,               0.009175,               0.009175,               0.009175
                     13,                 2.1259,                 2.3901,                 1.9653,                0.00174,                    0.4,                0.00179,                0.00037,                 3.6986,                 250.56,                 8.6856,              0.0090925,              0.0090925,              0.0090925
